what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351631138453
java.specification.version,sysinfo,,,"1.6",1351631138453
java.vendor,sysinfo,,,"Apple Inc.",1351631138453
java.version,sysinfo,,,"1.6.0_37",1351631138453
java.vm.info,sysinfo,,,"mixed mode",1351631138453
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351631138453
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351631138453
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351631138453
java.vm.specification.version,sysinfo,,,"1.0",1351631138453
java.vm.vendor,sysinfo,,,"Apple Inc.",1351631138453
java.vm.version,sysinfo,,,"20.12-b01-434",1351631138453
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1351631138514
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1351631138664
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1351631138666
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1351631138673
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1351631138675
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1351631138689
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1351631168364
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351631168368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631181131
activated,view,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui.views.tasks",1351631220717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631220824
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351631224098
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631226936
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631227117
started,bundle,com.google.gdt.eclipse.maven,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.maven",1351631228084
started,bundle,com.google.gdt.eclipse.suite,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.suite",1351631228093
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1351631244136
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1351631244143
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1351631244204
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1351631244231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631300856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631617241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631628005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631645295
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351631646653
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631670833
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631670952
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351631673389
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631674468
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631674556
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351631675267
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631675755
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631675828
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351631677158
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631677572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351631677667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631679230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631716910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631717527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631852414
started,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1351631853457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351631853667
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351632583012
