what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gwt.eclipse.core,3.1.0.v201208080120-rel-r37,"com.google.gwt.eclipse.core",1351608205355
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.core",1351608205355
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.bugzilla.ui",1351608205355
started,bundle,org.eclipse.mylyn.commons.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.core",1351608205355
started,bundle,org.eclipse.mylyn.commons.net,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.net",1351608205355
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.core",1351608205355
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.feed",1351608205355
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.2.v20120916-1200,"org.eclipse.mylyn.commons.notifications.ui",1351608205356
started,bundle,org.eclipse.mylyn.commons.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.ui",1351608205358
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.2.v20120916-1200,"org.eclipse.mylyn.commons.workbench",1351608205359
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1351608205361
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1351608205362
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1351608205363
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.index.core",1351608205364
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1351608205365
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1351608205366
started,bundle,de.odysseus.stan.eclipse,2.1.0.v20120917,"de.odysseus.stan.eclipse",1351608205367
started,bundle,de.odysseus.stan.eclipse.perspective,2.1.0.v20120917,"de.odysseus.stan.eclipse.perspective",1351608205368
started,bundle,com.instantiations.eclipse.debug,6.0.0.r37x201109091114,"com.instantiations.eclipse.debug",1351608205368
started,bundle,com.instantiations.eclipse.startup,6.0.0.r37x201109091114,"com.instantiations.eclipse.startup",1351608205369
started,bundle,com.instantiations.eclipse.util,6.0.0.r37x201109091114,"com.instantiations.eclipse.util",1351608205369
os,sysinfo,,,"macosx",1351608205374
arch,sysinfo,,,"x86_64",1351608205374
ws,sysinfo,,,"cocoa",1351608205374
locale,sysinfo,,,"ko_KR",1351608205374
processors,sysinfo,,,"4",1351608205374
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351608205374
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1351608205374
java.specification.name,sysinfo,,,"Java Platform API Specification",1351608205374
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351608205374
java.specification.version,sysinfo,,,"1.6",1351608205374
java.vendor,sysinfo,,,"Apple Inc.",1351608205374
java.version,sysinfo,,,"1.6.0_37",1351608205374
java.vm.info,sysinfo,,,"mixed mode",1351608205374
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351608205374
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351608205374
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351608205374
java.vm.specification.version,sysinfo,,,"1.0",1351608205374
java.vm.vendor,sysinfo,,,"Apple Inc.",1351608205374
java.vm.version,sysinfo,,,"20.12-b01-434",1351608205374
started,bundle,com.google.gdt.eclipse.maven,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.maven",1351608205584
started,bundle,com.google.gdt.eclipse.suite,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.suite",1351608205591
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1351608205611
