what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447275488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447276321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447632372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447637989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447651275
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447651599
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447651696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447652664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447669806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351447673556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447679034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447679190
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351447685825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447687415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447687726
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1351447694109
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1351447695259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447697125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447704721
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1351447704866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447723355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447726672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351447727695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351447728513
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351447729630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447731241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351447732965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351447736724
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1351447741361
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1351447741375
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1351447741409
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1351447741443
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1351447741446
started,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1351447741455
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1351447741553
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1351447745222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351447755446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351447756334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351447758296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351447762140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447786333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447800207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447810115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447827028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447833711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447834681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447835922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447836617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447852420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447861871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351447903342
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351447908418
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1351447909268
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1351447915738
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1351447915758
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447916679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351447917176
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447918333
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351447966145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447969437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351447994209
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447994545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351447994672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448002094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448077680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351448089643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351448090002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448092254
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351448354001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448354154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448361112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448362046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448363645
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1351448736619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351448736725
