what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1351793264357
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1351793317620
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793368276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793373965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793375641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793378670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793401432
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793401753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793401856
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793404253
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793411863
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793419198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793419569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793435880
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793437741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793437869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793440849
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793441644
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793442001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351793460548
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793461842
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793462184
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1351793472126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351793473092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351793484103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793487761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793488128
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793488872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793489168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351793494960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351793495231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793505311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793520110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793520485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793564390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793568791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793596840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793608100
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793620620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793620739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793627153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793663971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793670943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793671685
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793774315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793774450
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351793775323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793798057
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351793827540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793827659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351793846885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794124770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794127364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794130776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794139721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794151352
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1351794151422
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794160611
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794168657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794174168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794184101
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1351794184195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794187059
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794195392
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794195714
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794196544
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794196882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351794197681
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794201258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794201586
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794202258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794202528
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794203426
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794204846
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794209739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794219668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794223515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794235061
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1351794243309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794243812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794246875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351794273862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794279409
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794295241
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794295557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351794297335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351794297567
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794299125
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794299482
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794300720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351794304932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351794309414
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351794350062
